goos: linux
goarch: amd64
pkg: github.com/opencoff/go-sieve
cpu: 13th Gen Intel(R) Core(TM) i9-13900
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_1024-32      	408147081	         2.994 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_1024-32      	403996267	         2.979 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_1024-32      	400937134	         3.210 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_8192-32      	583638480	         1.853 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_8192-32      	646245554	         1.849 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_LockAndMark_ContendedScaling_K3/Slots_8192-32      	646813191	         1.879 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_IsVisited_Parallel-32                              	1000000000	         0.2891 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_IsVisited_Parallel-32                              	1000000000	         0.2959 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_IsVisited_Parallel-32                              	1000000000	         0.2940 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_Clear_Contended_K3-32                              	391709696	         3.014 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_Clear_Contended_K3-32                              	397720257	         3.018 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_Clear_Contended_K3-32                              	392715874	         3.027 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_MixedWorkload_Parallel-32                          	655906207	         1.795 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_MixedWorkload_Parallel-32                          	680246101	         1.803 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_MixedWorkload_Parallel-32                          	665311360	         1.793 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K1/s=1.01-32                                  	31337702	        38.67 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K1/s=1.01-32                                  	28527798	        37.90 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K1/s=1.01-32                                  	30440203	        38.22 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K1/s=1.20-32                                  	20321728	        60.60 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K1/s=1.20-32                                  	19736242	        60.91 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K1/s=1.20-32                                  	18573375	        60.80 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K1/s=1.50-32                                  	14456092	        83.01 ns/op	       2 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K1/s=1.50-32                                  	14753406	        81.23 ns/op	       2 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K1/s=1.50-32                                  	12616116	        81.72 ns/op	       2 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K3/s=1.01-32                                  	30077292	        39.10 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K3/s=1.01-32                                  	30957909	        39.33 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K3/s=1.01-32                                  	30301249	        38.90 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K3/s=1.20-32                                  	19786842	        61.62 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K3/s=1.20-32                                  	18977608	        62.30 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K3/s=1.20-32                                  	19043449	        63.11 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K3/s=1.50-32                                  	14604279	        84.99 ns/op	       2 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K3/s=1.50-32                                  	13813651	        85.24 ns/op	       2 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_K3/s=1.50-32                                  	14282164	        84.67 ns/op	       2 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_Mixed/s=1.01-32                               	34058308	        34.50 ns/op	       0 B/op	       0 allocs/op
